"Source	Target",Target
testDriver,client.remoteAPI
testDriver,client.scripts
client.remoteAPI,common.util
client.remoteAPI,common.exception
client.remoteAPI,common.dataTransfer
client.scripts,common.util
client.scripts,common.exception
client.scripts,common.dataTransfer
client.scripts,client.remoteAPI
client.scripts,logic.backdoor
"testDriver	common.util",
"testDriver	common.exception",
"testDriver	common.dataTransfer",
"testDriver	logic.backdoor",
"ui.automated	common.util",
"ui.automated	common.exception",
"ui.automated	common.dataTransfer",
"ui.automated	logic.api",
"ui.controller	common.util",
"ui.controller	common.exception",
"ui.controller	common.dataTransfer",
"ui.controller	logic.api",
"ui.controller	ui.view",
"ui.view	common.util",
"ui.view	common.exception",
"ui.view	common.dataTransfer",
"logic.core	common.util",
"logic.core	common.exception",
"logic.core	common.dataTransfer",
"logic.core	storage.api",
"logic.api	logic.core",
"logic.api	common.util",
"logic.api	common.exception",
"logic.api	common.dataTransfer",
"logic.backdoor	logic.api",
"logic.backdoor	common.util",
"logic.backdoor	common.exception",
"logic.backdoor	common.dataTransfer",
"logic.backdoor	storage.api",
"storage.entity	common.util",
"storage.entity	common.exception",
"storage.entity	common.dataTransfer",
"storage.api	common.util",
"storage.api	common.exception",
"storage.api	common.dataTransfer",
"storage.api	storage.entity",
"storage.api	storage.search",
"storage.search	storage.api",
"storage.search	common.util",
"storage.search	common.exception",
"storage.search	common.dataTransfer",
"common.dataTransfer	storage.entity",
"common.dataTransfer	common.util",
common.dataTransfer,common.exception
common.util,common.dataTransfer
common.util,common.exception
common.exception,common.util
common.exception,common.dataTransfer
